Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
205,Ziaire Williams,24,BRK,SF,23,2,22.8,3,7.3,0.402,1.6,5.3,0.303,1.3,2,0.66,0.512,1.5,1.8,0.829,0.7,2,2.7,0.7,0.8,0.5,1,2,9,,willizi02
206,Ryan Kalkbrenner,24,CHO,C,25,24,25.6,3.8,4.8,0.79,0,0.1,0,3.8,4.7,0.803,0.79,1.4,1.9,0.723,2.6,3.8,6.4,0.6,0.7,1.8,1.2,1.9,8.9,,kalkbry01
207,Corey Kispert,26,WAS,SF,17,2,19.9,3.1,6.1,0.505,1.6,3.9,0.403,1.5,2.1,0.694,0.636,1.2,1.7,0.724,0.4,2.1,2.5,1.7,0.5,0.2,0.6,1.1,8.9,,kispeco01
208,Trendon Watford,25,PHI,PF,14,4,20.4,3.4,6.3,0.534,0.5,1.3,0.389,2.9,5,0.571,0.574,1.7,2.1,0.8,1.1,3.6,4.7,3.6,0.4,0.2,1.5,2.7,8.9,,watfotr01
209,Brice Sensabaugh,22,UTA,SF,25,1,16,3,7.1,0.424,1.6,4.4,0.355,1.4,2.7,0.537,0.534,1.2,1.4,0.857,0.6,1.9,2.5,1.2,0.6,0.2,0.8,1.8,8.8,,sensabr01
210,Danny Wolf,21,BRK,PF,12,0,17.6,3,7.1,0.424,1.3,3.4,0.39,1.7,3.7,0.455,0.518,1.4,1.7,0.85,0.9,3.3,4.3,1.8,0.4,0.3,1.5,1,8.8,,wolfda01
211,Egor Dёmin,19,BRK,PG,24,17,23.1,3.1,8.2,0.378,1.9,5.5,0.344,1.2,2.7,0.446,0.492,0.7,0.8,0.842,0.5,2.6,3.1,3.4,0.9,0.3,1.7,2,8.7,,demineg01
212,Pelle Larsson,24,MIA,SG,24,16,21.9,3,6.7,0.444,1,3.1,0.338,1.9,3.6,0.535,0.522,1.8,2.3,0.778,0.5,2,2.5,3.2,0.5,0.2,1,1.9,8.7,,larsspe01
213,Jusuf Nurkić,31,UTA,C,24,19,24.5,3.5,7.5,0.469,0.3,1.5,0.229,3.2,6,0.528,0.492,1.3,2.8,0.485,2.5,7,9.5,4,1.5,0.4,2.6,3,8.7,,nurkiju01
214,Jose Alvarado,27,NOP,PG,27,0,22.6,3.1,7.2,0.436,1.7,4.6,0.374,1.4,2.7,0.542,0.554,0.6,0.8,0.81,0.4,2.4,2.9,3.3,1,0.1,1.3,2,8.6,,alvarjo01
215,Jordan Goodwin,27,PHO,PG,24,2,20.8,3.4,8.1,0.421,1.3,3.8,0.352,2.1,4.3,0.481,0.503,0.5,0.7,0.688,1.8,2.4,4.2,2,1.5,0.2,1.2,1.6,8.6,,goodwjo01
216,Aaron Holiday,29,HOU,PG,19,0,16.4,2.7,6,0.456,1.8,4.1,0.449,0.9,1.9,0.472,0.61,1.3,1.5,0.862,0.1,0.8,0.9,1.1,0.4,0.2,0.8,1.4,8.6,,holidaa01
217,Terance Mann,29,BRK,SG,24,24,26.3,3.1,6.9,0.455,1,2.8,0.353,2.1,4,0.526,0.527,1.3,1.6,0.842,1.5,2,3.5,3.6,0.8,0.2,1,2.7,8.6,,mannte01
218,Isaac Okoro,25,CHI,SG,18,18,25.2,3.3,7,0.476,1.1,3.2,0.333,2.3,3.8,0.594,0.552,0.9,1.2,0.762,1.2,1.4,2.7,1.5,0.4,0.6,0.8,3,8.6,,okorois01
219,Daniel Gafford,27,DAL,C,17,13,21.9,3.2,5.2,0.614,0,0,,3.2,5.2,0.614,0.614,2.2,2.8,0.787,2.2,3.9,6.1,1.3,0.9,1.5,1.6,2.8,8.5,,gaffoda01
220,Jake LaRavia,24,LAL,PF,26,7,24.5,3.1,6.8,0.455,1,3,0.321,2.2,3.8,0.56,0.525,1.3,1.9,0.714,1.2,2.7,3.9,1.8,1.2,0.3,1,2.3,8.5,,laravja01
221,Ryan Nembhard,22,DAL,PG,15,9,20.2,3.6,6.7,0.535,1.1,2.5,0.459,2.5,4.3,0.578,0.619,0.1,0.2,0.667,0.3,1.5,1.7,5.3,0.3,0,1.5,1.6,8.5,,nembhry01
222,Tolu Smith,25,DET,PF,2,0,11,3,4,0.75,0,0,,3,4,0.75,0.75,2.5,3.5,0.714,2,3.5,5.5,1,0.5,0.5,0.5,1,8.5,,smithto05
223,Jonas Valančiūnas,33,DEN,C,26,0,12.8,3.5,5.8,0.599,0.1,0.4,0.273,3.4,5.4,0.624,0.609,1.4,1.9,0.735,1.3,3.3,4.6,1.2,0.2,0.6,1.1,2.1,8.5,,valanjo01
224,Bilal Coulibaly,21,WAS,SG,13,13,26.8,2.7,7.5,0.357,0.8,3.5,0.244,1.8,4.1,0.453,0.413,2.2,2.8,0.757,0.5,3.5,4,2.9,1.2,0.9,1.9,2.6,8.4,,coulibi01
225,Kris Dunn,31,LAC,PG,27,21,26.5,3.2,6.4,0.494,1.1,2.9,0.377,2.1,3.6,0.588,0.578,0.9,1.1,0.742,0.8,2,2.7,3,1.6,0.2,1.4,2.4,8.3,,dunnkr01
226,Ron Holland,20,DET,SF,27,5,20.9,3,7.4,0.412,0.7,2.7,0.264,2.3,4.7,0.496,0.46,1.6,1.9,0.808,0.9,2.7,3.6,1.5,1.5,0.2,1.3,2.3,8.3,,hollaro01
227,Cason Wallace,22,OKC,SG,26,25,27.8,3.2,7.3,0.432,1.5,4.2,0.361,1.7,3.2,0.524,0.534,0.5,0.6,0.8,0.7,2.3,3,2.5,2.4,0.2,1,2.3,8.3,,wallaca01
228,Dominick Barlow,22,PHI,PF,16,13,26.9,3.1,6.2,0.505,0.4,1.7,0.259,2.7,4.5,0.597,0.54,1.5,1.8,0.828,2.1,3.8,5.8,1.9,0.8,1.1,1.1,2.3,8.2,,barlodo01
229,Bradley Beal,32,LAC,SG,6,6,20.2,3,8,0.375,1.2,3.2,0.368,1.8,4.8,0.379,0.448,1,1.3,0.75,0.3,0.5,0.8,1.7,0.5,0,1.5,2.3,8.2,,bealbr01
230,Bub Carrington,20,WAS,PG,25,9,27,2.9,7.7,0.375,1.7,4.2,0.413,1.2,3.5,0.33,0.487,0.8,1.1,0.704,0.4,3.2,3.6,4.4,0.5,0.1,2.2,2.3,8.2,,carrica01
